VISITING,HOME,WEEK,DATE,TIME,TV,Bye
Titans,Jets,14,12/13/15,1:00 PM ET ,,
Steelers,Bengals,14,12/13/15,1:00 PM ET ,,
Patriots,Texans,14,12/13/15,1:00 PM ET ,,
Colts,Jaguars,14,12/13/15,1:00 PM ET ,,
Chargers,Chiefs,14,12/13/15,1:00 PM ET ,,
Redskins,Bears,14,12/13/15,1:00 PM ET ,,
Falcons,Panthers,14,12/13/15,1:00 PM ET ,,
Raiders,Broncos,14,12/13/15,4:05 PM ET ,,
Cowboys,Packers,14,12/13/15,4:25 PM ET ,,
Seahawks,Ravens,14,12/13/15,8:30 PM ET ,,
Giants,Dolphins,14,12/14/15,8:30 PM ET ,,
Buccaneers,Rams,15,12/17/15,8:25 PM ET ,,BYE WEEK: No teams on bye Flexible scheduling procedures  
Jets,Cowboys,15,12/19/15,8:25 PM ET ,,
Bears,Vikings,15,12/20/15,1:00 PM ET ,,
Falcons,Jaguars,15,12/20/15,1:00 PM ET ,,
Texans,Colts,15,12/20/15,1:00 PM ET ,,
Cardinals,Eagles,15,12/20/15,1:00 PM ET ,,
Panthers,Giants,15,12/20/15,1:00 PM ET ,,
Titans,Patriots,15,12/20/15,1:00 PM ET ,,
Bills,Redskins,15,12/20/15,1:00 PM ET ,,
Chiefs,Ravens,15,12/20/15,1:00 PM ET ,,
Browns,Seahawks,15,12/20/15,4:05 PM ET ,,
Packers,Raiders,15,12/20/15,4:05 PM ET ,,
Broncos,Steelers,15,12/20/15,4:25 PM ET ,,
Dolphins,Chargers,15,12/20/15,4:25 PM ET ,,
Bengals,49ers,15,12/20/15,8:30 PM ET ,,
Lions,Saints,15,12/21/15,8:30 PM ET ,,
Chargers,Raiders,16,12/24/15,8:25 PM ET ,,BYE WEEK: No teams on bye Flexible scheduling procedures  
Redskins,Eagles,16,12/26/15,8:25 PM ET ,,
Patriots,Jets,16,12/27/15,1:00 PM ET ,,
Texans,Titans,16,12/27/15,1:00 PM ET ,,
Browns,Chiefs,16,12/27/15,1:00 PM ET ,,
Colts,Dolphins,16,12/27/15,1:00 PM ET ,,
Jaguars,Saints,16,12/27/15,1:00 PM ET ,,
49ers,Lions,16,12/27/15,1:00 PM ET ,,
Cowboys,Bills,16,12/27/15,1:00 PM ET ,,
Bears,Buccaneers,16,12/27/15,1:00 PM ET ,,
Panthers,Falcons,16,12/27/15,1:00 PM ET ,,
Giants,Vikings,16,12/27/15,1:00 PM ET ,,
Rams,Seahawks,16,12/27/15,4:25 PM ET ,,
